# Time since Start (s)	Non-Conservative Translational Work (J)	Non-Conservative Rotational Work (J)	Work from Gravity-Gradient Torque (J)	Work from Aspherical Earth Potential (J)	Work from Sun Acceleration (J)	Work from Moon Acceleration (J)	Earth Potential Energy (J)	Sun Potential (J)	Moon Potential (J)
91238400.000000	0.0000000000000000e+00	-9.6586941583179848e-07	1.3952063691330334e+01	2.7401253831881756e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5899713016889459e+11	0.0000000000000000e+00	0.0000000000000000e+00
91324800.000000	0.0000000000000000e+00	-9.6678770503832674e-07	1.4052934953023899e+01	2.7216908848557030e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5722282444967700e+11	0.0000000000000000e+00	0.0000000000000000e+00
91411200.000000	0.0000000000000000e+00	-9.6768789541808391e-07	1.3914413670779005e+01	2.7614719930934048e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5784978731155377e+11	0.0000000000000000e+00	0.0000000000000000e+00
91497600.000000	0.0000000000000000e+00	-9.6856754993440064e-07	1.4070612307321360e+01	2.7820450866687500e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5904930831817413e+11	0.0000000000000000e+00	0.0000000000000000e+00
91584000.000000	0.0000000000000000e+00	-9.6946130857622003e-07	1.4017641833570977e+01	2.7461331743469769e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5684388313143286e+11	0.0000000000000000e+00	0.0000000000000000e+00
91670400.000000	0.0000000000000000e+00	-9.7032204346967286e-07	1.4033022244687102e+01	2.7338394068284218e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5850574455305627e+11	0.0000000000000000e+00	0.0000000000000000e+00
91756800.000000	0.0000000000000000e+00	-9.7118472929398999e-07	1.4033960238148126e+01	2.7761487327376694e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5814883594333325e+11	0.0000000000000000e+00	0.0000000000000000e+00
91843200.000000	0.0000000000000000e+00	-9.7208377636752102e-07	1.4017990023787616e+01	2.7899906506559895e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5736459076338800e+11	0.0000000000000000e+00	0.0000000000000000e+00
91929600.000000	0.0000000000000000e+00	-9.7295860341193786e-07	1.4163506472381961e+01	2.7517831062561321e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5896857184016815e+11	0.0000000000000000e+00	0.0000000000000000e+00
92016000.000000	0.0000000000000000e+00	-9.7384928948240799e-07	1.4006628155628306e+01	2.7470700178015842e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5704900360707104e+11	0.0000000000000000e+00	0.0000000000000000e+00
92102400.000000	0.0000000000000000e+00	-9.7477463561247869e-07	1.4139125831039463e+01	2.7913510354478149e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5817357628085413e+11	0.0000000000000000e+00	0.0000000000000000e+00
92188800.000000	0.0000000000000000e+00	-9.7569899642699587e-07	1.4106768238170828e+01	2.7978763690884026e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5883233619331934e+11	0.0000000000000000e+00	0.0000000000000000e+00
92275200.000000	0.0000000000000000e+00	-9.7668074736201811e-07	1.4088062851982977e+01	2.7586434966423222e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5678683047006927e+11	0.0000000000000000e+00	0.0000000000000000e+00
92361600.000000	0.0000000000000000e+00	-9.7764571938233511e-07	1.4195522795476261e+01	2.7607868676369080e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5872921431310138e+11	0.0000000000000000e+00	0.0000000000000000e+00
92448000.000000	0.0000000000000000e+00	-9.7857171625038160e-07	1.4144664005569984e+01	2.8051312747868553e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5793730094001544e+11	0.0000000000000000e+00	0.0000000000000000e+00
92534400.000000	0.0000000000000000e+00	-9.7951397421357150e-07	1.4167369744345994e+01	2.8043053729384151e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5752240413032214e+11	0.0000000000000000e+00	0.0000000000000000e+00
92620800.000000	0.0000000000000000e+00	-9.8040827889460309e-07	1.4157890451836996e+01	2.7653889385010582e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5888748451939508e+11	0.0000000000000000e+00	0.0000000000000000e+00
92707200.000000	0.0000000000000000e+00	-9.8130119096599990e-07	1.4194166674976627e+01	2.7753366667620796e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5694150030428528e+11	0.0000000000000000e+00	0.0000000000000000e+00
92793600.000000	0.0000000000000000e+00	-9.8219049898500502e-07	1.4236439289462568e+01	2.8190161578453773e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5847940666332855e+11	0.0000000000000000e+00	0.0000000000000000e+00
92880000.000000	0.0000000000000000e+00	-9.8306375527511681e-07	1.4167830675544518e+01	2.8110236601009586e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5855594846801440e+11	0.0000000000000000e+00	0.0000000000000000e+00
92966400.000000	0.0000000000000000e+00	-9.8395839251706753e-07	1.4274080062470780e+01	2.7735964268987705e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5680999726707074e+11	0.0000000000000000e+00	0.0000000000000000e+00
93052800.000000	0.0000000000000000e+00	-9.8483106125040813e-07	1.4245807973268473e+01	2.7901962220954967e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5891659262560992e+11	0.0000000000000000e+00	0.0000000000000000e+00
93139200.000000	0.0000000000000000e+00	-9.8568136459134387e-07	1.4288567440876751e+01	2.8314656836496151e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5772032081775189e+11	0.0000000000000000e+00	0.0000000000000000e+00
93225600.000000	0.0000000000000000e+00	-9.8657700393355368e-07	1.4226752913973849e+01	2.8163873446211281e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5770088170958087e+11	0.0000000000000000e+00	0.0000000000000000e+00
93312000.000000	0.0000000000000000e+00	-9.8746677728832233e-07	1.4309154059529330e+01	2.7818429193644341e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5876184561934912e+11	0.0000000000000000e+00	0.0000000000000000e+00
93398400.000000	0.0000000000000000e+00	-9.8837953367000742e-07	1.4317029572484277e+01	2.8055948423734135e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5690349934143799e+11	0.0000000000000000e+00	0.0000000000000000e+00
